Model:	LI-7810
SN:	TG10-01100
Software Version:	2.0.25
Timestamp:	2021-05-06 11:53:37
Timezone:	Europe/Helsinki
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1620291309	7515907	382	256	2021-05-06	11:55:09	nan	nan	nan	63.7061	22.3299	63.593	43.5184	0	0	22.0405	-16000	0	15.4283	166
DATA	1620291310	7515907	386	256	2021-05-06	11:55:10	nan	nan	nan	63.7955	22.3524	63.6832	43.5184	0	0	22.0632	-16000	0	15.4228	208
DATA	1620291311	7515907	390	256	2021-05-06	11:55:11	nan	nan	nan	63.8869	22.3752	63.7722	43.5184	0	0	22.0861	-16000	0	15.4216	213
DATA	1620291312	7515907	394	256	2021-05-06	11:55:12	nan	nan	nan	63.978	22.3979	63.8645	43.5184	0	0	22.1088	-16000	0	15.4224	181
DATA	1620291313	7229089	398	256	2021-05-06	11:55:13	nan	nan	nan	64.0678	22.42	63.9563	43.5184	0	0	22.1312	-16000	0	15.4251	108
DATA	1620291314	7229089	402	256	2021-05-06	11:55:14	nan	nan	nan	64.1584	22.4424	64.0478	43.5184	0	0	22.1542	-16000	0	15.4216	200
DATA	1620291315	7229089	406	256	2021-05-06	11:55:15	nan	nan	nan	64.2474	22.4633	64.1355	43.5184	0	0	22.1757	-16000	0	15.42	107
DATA	1620291316	7229089	410	256	2021-05-06	11:55:16	nan	nan	nan	64.3364	22.4845	64.2233	43.5184	0	0	22.1978	-16000	0	15.4224	211
DATA	1620291317	7229089	414	256	2021-05-06	11:55:17	nan	nan	nan	64.4295	22.5061	64.3176	43.5184	0	0	22.2209	-16000	0	15.4208	209
DATA	1620291318	7229089	418	256	2021-05-06	11:55:18	nan	nan	nan	64.5209	22.5282	64.4103	43.5184	0	0	22.2435	-16000	0	15.422	154
DATA	1620291319	7229089	422	256	2021-05-06	11:55:19	nan	nan	nan	64.6148	22.55	64.5026	43.5184	0	0	22.2662	-16000	0	15.4169	118
DATA	1620291320	6936073	426	256	2021-05-06	11:55:20	nan	nan	nan	64.7087	22.5724	64.5965	43.5184	0	0	22.2886	-16000	0	15.4149	228
DATA	1620291321	6936073	430	256	2021-05-06	11:55:21	nan	nan	nan	64.8022	22.594	64.6912	43.5184	0	0	22.3112	-16000	0	15.4161	137
DATA	1620291322	6936073	434	256	2021-05-06	11:55:22	nan	nan	nan	64.8969	22.6156	64.7863	43.5184	0	0	22.3337	-16000	0	15.4114	224
DATA	1620291323	6936073	438	256	2021-05-06	11:55:23	nan	nan	nan	64.9908	22.6372	64.8802	43.5184	0	0	22.3561	-16000	0	15.4043	218
DATA	1620291324	6936073	442	256	2021-05-06	11:55:24	nan	nan	nan	65.0827	22.6577	64.9716	43.5184	0	0	22.3781	-16000	0	15.391	177
DATA	1620291325	6936073	446	256	2021-05-06	11:55:25	nan	nan	nan	65.1741	22.6784	65.0635	43.5184	0	0	22.4	-16000	0	15.3945	 68
DATA	1620291326	6936073	450	256	2021-05-06	11:55:26	nan	nan	nan	65.2705	22.6997	65.159	43.5184	0	0	22.4225	-16000	0	15.3914	174
DATA	1620291327	6936073	454	256	2021-05-06	11:55:27	nan	nan	nan	65.3664	22.7211	65.2554	43.5184	0	0	22.4452	-16000	0	15.3934	218
DATA	1620291328	6645917	458	256	2021-05-06	11:55:28	nan	nan	nan	65.4636	22.743	65.3534	43.5184	0	0	22.4674	-16000	0	15.389	141
DATA	1620291329	6645917	462	256	2021-05-06	11:55:29	nan	nan	nan	65.5612	22.7642	65.4513	43.5184	0	0	22.4899	-16000	0	15.3949	246
DATA	1620291330	6645917	466	256	2021-05-06	11:55:30	nan	nan	nan	65.6579	22.7854	65.5485	43.5184	0	0	22.5122	-16000	0	15.3879	243
DATA	1620291331	6645917	470	256	2021-05-06	11:55:31	nan	nan	nan	65.7559	22.8066	65.6473	43.5184	0	0	22.5345	-16000	0	15.3894	237
DATA	1620291332	6645917	474	256	2021-05-06	11:55:32	nan	nan	nan	65.8506	22.8268	65.7404	43.5184	0	0	22.5561	-16000	0	15.3902	225
DATA	1620291333	6645917	478	256	2021-05-06	11:55:33	nan	nan	nan	65.9466	22.8469	65.8355	43.5184	0	0	22.5779	-16000	0	15.3945	  8
DATA	1620291334	6645917	482	256	2021-05-06	11:55:34	nan	nan	nan	66.0462	22.8679	65.9359	43.5184	0	0	22.6001	-16000	0	15.3812	229
DATA	1620291335	6351947	486	256	2021-05-06	11:55:35	nan	nan	nan	66.1454	22.8889	66.0372	43.5184	0	0	22.6225	-16000	0	15.3973	240
DATA	1620291336	6351947	490	256	2021-05-06	11:55:36	nan	nan	nan	66.2458	22.9101	66.1368	43.5184	0	0	22.6445	-16000	0	15.3926	228
DATA	1620291337	6351947	494	256	2021-05-06	11:55:37	nan	nan	nan	66.3462	22.9315	66.2372	43.5184	0	0	22.6668	-16000	0	15.3902	234
DATA	1620291338	6351947	498	256	2021-05-06	11:55:38	nan	nan	nan	66.4491	22.9525	66.3393	43.5184	0	0	22.6889	-16000	0	15.3941	  2
DATA	1620291339	6351947	502	256	2021-05-06	11:55:39	nan	nan	nan	66.5508	22.9733	66.4426	43.5184	0	0	22.7111	-16000	0	15.4004	215
